entry_id,mode,setup,base_lang,phrase_lang,n_phrases,quality_tier,audio_s,mWER,eWER,MER,mWER_unit,eWER_unit,matrix_units,embedded_units,LA_segment_per_wav,LID_conf_per_wav,SIM_whole,SIM_matrix,SIM_embedded_per_wav,success
syncs_E_to_K_43,moss_tts_v15,E_to_K,en,ko,4,S,28.24,0.0,0.046875,0.027522935779816515,WER,CER,45,64,1.0,0.9992972761392593,0.9089536070823669,0.9709150791168213,0.7449780851602554,True
syncs_E_to_K_47,moss_tts_v15,E_to_K,en,ko,4,S,35.92,0.17307692307692307,0.014705882352941176,0.08449651046859422,WER,CER,52,66,1.0,0.9980251640081406,0.9036603569984436,0.96442049741745,0.7118111848831177,True
syncs_E_to_K_51,moss_tts_v15,E_to_K,en,ko,4,S,36.56,0.17857142857142858,0.13467261904761904,0.15586514778325122,WER,CER,56,60,0.75,0.9993456602096558,0.9024380445480347,0.9638392925262451,0.744826078414917,True
syncs_E_to_K_55,moss_tts_v15,E_to_K,en,ko,4,S,26.8,0.6744186046511628,0.17573529411764707,0.35295333009236757,WER,CER,43,78,0.75,0.998533695936203,0.9061324596405029,0.9791505336761475,0.6938309073448181,True
syncs_E_to_K_59,moss_tts_v15,E_to_K,en,ko,3,S,24.0,0.020833333333333332,0.07509157509157509,0.046782927217709824,WER,CER,48,44,1.0,0.9911983410517374,0.9324615001678467,0.9821066856384277,0.735355277856191,True
syncs_E_to_K_63,moss_tts_v15,E_to_K,en,ko,3,S,24.32,0.0,0.10994152046783626,0.05660355509235134,WER,CER,49,52,1.0,0.999809980392456,0.9506694674491882,0.9738872647285461,0.7356394728024801,True
syncs_E_to_K_67,moss_tts_v15,E_to_K,en,ko,4,S,31.28,0.1,0.08134920634920634,0.08938834154351395,WER,CER,50,66,1.0,0.9994129985570908,0.8834648132324219,0.9793639779090881,0.654592290520668,True
syncs_E_to_K_71,moss_tts_v15,E_to_K,en,ko,4,S,29.68,0.022727272727272728,0.2619047619047619,0.17703533026113671,WER,CER,44,80,0.75,0.9997036457061768,0.8484594821929932,0.9478303790092468,0.7130413204431534,True
syncs_E_to_K_75,moss_tts_v15,E_to_K,en,ko,4,S,31.28,0.5294117647058824,0.1797877045555064,0.32018791768675975,WER,CER,51,76,0.5,0.9985377788543701,0.8860498070716858,0.9771679043769836,0.7042537927627563,True
syncs_E_to_K_79,moss_tts_v15,E_to_K,en,ko,3,S,32.48,0.31746031746031744,0.017543859649122806,0.17632316084328467,WER,CER,63,56,1.0,0.9992443521817526,0.9054535031318665,0.9730186462402344,0.7110746502876282,True
syncs_E_to_K_83,moss_tts_v15,E_to_K,en,ko,4,S,37.68,0.22641509433962265,0.1634199134199134,0.18761371478762784,WER,CER,53,85,0.75,0.9990988373756409,0.9063103199005127,0.9734656810760498,0.745770052075386,True
syncs_E_to_K_87,moss_tts_v15,E_to_K,en,ko,4,S,35.84,0.125,0.029411764705882353,0.06702025072324011,WER,CER,48,74,1.0,0.9998589903116226,0.8930423259735107,0.9662519693374634,0.7597292512655258,True
syncs_E_to_K_91,moss_tts_v15,E_to_K,en,ko,3,S,32.08,0.13559322033898305,0.0,0.0761904761904762,WER,CER,59,46,1.0,0.9866991639137268,0.9495633244514465,0.9717580676078796,0.7471911112467448,True
syncs_E_to_K_95,moss_tts_v15,E_to_K,en,ko,4,S,31.76,0.16666666666666666,0.10661764705882354,0.12712219033955047,WER,CER,42,81,0.75,0.9959586262702942,0.8358195424079895,0.9682425856590271,0.7318809032440186,True
syncs_E_to_K_99,moss_tts_v15,E_to_K,en,ko,4,S,29.6,0.0,0.027777777777777776,0.017361111111111112,WER,CER,42,70,1.0,0.9994393438100815,0.8826221823692322,0.9660165309906006,0.7404500395059586,True
syncs_E_to_J_3,moss_tts_v15,E_to_J,en,ja,3,S,37.12,0.5526315789473685,0.37485380116959066,0.4856006135557474,WER,CER,76,46,1.0,0.942931056022644,0.9670276641845703,0.9755277633666992,0.6964829166730245,True
syncs_E_to_J_7,moss_tts_v15,E_to_J,en,ja,4,A,34.88,0.582089552238806,0.330370082815735,0.4552975231960739,WER,CER,67,68,1.0,0.9777012169361115,0.9234384894371033,0.9707071185112,0.7081135511398315,True
syncs_E_to_J_11,moss_tts_v15,E_to_J,en,ja,4,S,38.0,0.18333333333333332,0.3942307692307692,0.2822498298162015,WER,CER,60,53,0.75,0.9622259140014648,0.977210283279419,0.9918900728225708,0.715728834271431,True
syncs_E_to_J_15,moss_tts_v15,E_to_J,en,ja,4,S,36.16,0.5616438356164384,0.39926470588235297,0.4870697167755991,WER,CER,73,62,0.75,0.9825319647789001,0.9578978419303894,0.9771366119384766,0.6922498047351837,True
syncs_E_to_J_19,moss_tts_v15,E_to_J,en,ja,3,A,29.76,0.3064516129032258,0.5594405594405594,0.40100303736667364,WER,CER,62,37,0.3333333333333333,0.5952751445583999,0.9769330024719238,0.9835656881332397,0.693467378616333,True
syncs_E_to_J_23,moss_tts_v15,E_to_J,en,ja,3,S,38.8,0.3333333333333333,0.43894993894993894,0.371246986631602,WER,CER,75,42,1.0,0.9132582545280457,0.9622688293457031,0.9688933491706848,0.7778106133143107,True
syncs_E_to_J_27,moss_tts_v15,E_to_J,en,ja,4,S,35.12,0.25757575757575757,0.4368131868131868,0.33823260073260075,WER,CER,66,54,0.75,0.7434746399521828,0.938470721244812,0.9723984599113464,0.7756616473197937,True
syncs_E_to_J_31,moss_tts_v15,E_to_J,en,ja,3,A,34.56,0.4925373134328358,0.5032051282051282,0.4966478475652788,WER,CER,67,42,0.3333333333333333,0.9898802638053894,0.977489173412323,0.9848827719688416,0.7027072707811991,True
syncs_E_to_J_35,moss_tts_v15,E_to_J,en,ja,4,A,43.76,0.7058823529411765,0.4305288461538462,0.5745599112426036,WER,CER,68,62,0.5,0.7654097974300385,0.9593127965927124,0.9759929180145264,0.805192619562149,True
syncs_E_to_J_39,moss_tts_v15,E_to_J,en,ja,4,A,35.84,0.40298507462686567,0.75,0.5546218487394958,WER,CER,67,52,0.25,0.39849094627425075,0.9783121347427368,0.9814519882202148,0.7666569352149963,True
syncs_E_to_J_43,moss_tts_v15,E_to_J,en,ja,4,S,33.68,0.4838709677419355,0.4416520979020979,0.4644135755548799,WER,CER,62,53,0.25,0.9590157270431519,0.9685118198394775,0.9823298454284668,0.7029290497303009,True
syncs_E_to_J_47,moss_tts_v15,E_to_J,en,ja,4,A,43.36,0.5,0.30326505602240894,0.40709738756613756,WER,CER,76,68,0.75,0.8532433211803436,0.9727926254272461,0.9795883893966675,0.727401927113533,True
syncs_E_to_J_51,moss_tts_v15,E_to_J,en,ja,3,A,33.44,0.42028985507246375,0.5683760683760684,0.4737654320987654,WER,CER,69,39,0.3333333333333333,0.93231334288915,0.9719090461730957,0.9832595586776733,0.7133305867513021,True
syncs_E_to_J_55,moss_tts_v15,E_to_J,en,ja,4,S,40.96,0.36585365853658536,0.21428571428571427,0.3005952380952381,WER,CER,82,62,0.75,0.9111717492341995,0.9657732248306274,0.9708133935928345,0.7897650301456451,True
syncs_E_to_J_59,moss_tts_v15,E_to_J,en,ja,4,S,37.6,0.6029411764705882,0.46678321678321677,0.5452471257556003,WER,CER,68,50,0.5,0.6877054572105408,0.9617290496826172,0.9758161306381226,0.7932068556547165,True
syncs_E_to_J_63,moss_tts_v15,E_to_J,en,ja,3,S,39.36,0.5294117647058824,0.49444444444444446,0.5182222222222223,WER,CER,68,32,0.3333333333333333,0.745597759882609,0.9575804471969604,0.9758245944976807,0.7047876119613647,True
syncs_E_to_J_67,moss_tts_v15,E_to_J,en,ja,3,S,33.44,0.16417910447761194,0.4523809523809524,0.2735890652557319,WER,CER,67,41,0.6666666666666666,0.9191783865292867,0.9599457383155823,0.9757283329963684,0.7696911692619324,True
syncs_E_to_J_71,moss_tts_v15,E_to_J,en,ja,3,C,36.24,0.35714285714285715,0.6196581196581197,0.4462989840348331,WER,CER,70,36,0.3333333333333333,0.8743524551391602,0.9553308486938477,0.9767179489135742,0.7238752643267313,True
syncs_E_to_J_75,moss_tts_v15,E_to_J,en,ja,4,A,38.88,0.22058823529411764,0.1425865800865801,0.1833874458874459,WER,CER,68,62,1.0,0.9970448017120361,0.9687275290489197,0.9803467988967896,0.7011191993951797,True
syncs_E_to_J_79,moss_tts_v15,E_to_J,en,ja,3,S,27.52,0.2786885245901639,0.2746031746031746,0.27717231222385863,WER,CER,61,36,0.6666666666666666,0.6855888962745667,0.9627574682235718,0.9687936305999756,0.7574608524640402,True
syncs_E_to_J_83,moss_tts_v15,E_to_J,en,ja,4,A,35.28,0.17647058823529413,0.4696969696969697,0.2963109354413702,WER,CER,68,47,0.5,0.9221009016036987,0.9624325633049011,0.9706482887268066,0.7393340021371841,True
syncs_E_to_J_87,moss_tts_v15,E_to_J,en,ja,3,S,29.04,0.31666666666666665,0.6608220211161387,0.46601710350323,WER,CER,60,46,0.0,0.4352264652649562,0.9739637970924377,0.987493097782135,0.7696298162142435,True
syncs_E_to_J_91,moss_tts_v15,E_to_J,en,ja,3,S,31.92,0.26865671641791045,0.40404040404040403,0.3151119033471975,WER,CER,67,35,0.6666666666666666,0.9924095273017883,0.9620770812034607,0.9666825532913208,0.7521331111590067,True
syncs_E_to_J_95,moss_tts_v15,E_to_J,en,ja,3,S,33.92,0.3235294117647059,0.5641025641025641,0.411214953271028,WER,CER,68,39,0.3333333333333333,0.5484645843195418,0.9822834730148315,0.9873654246330261,0.7707961599032084,True
syncs_E_to_J_99,moss_tts_v15,E_to_J,en,ja,4,A,34.4,0.515625,0.17175925925925928,0.33008593125499597,WER,CER,64,75,1.0,0.9429350197315216,0.9473370909690857,0.9649423956871033,0.7189894169569016,True
syncs_K_to_E_3,moss_tts_v15,K_to_E,ko,en,5,S,51.76,0.4267515923566879,0.18095238095238095,0.3819444444444444,CER,WER,157,35,0.8,0.5921796321868896,0.9806327819824219,0.9771267175674438,0.9650600910186767,True
syncs_K_to_E_7,moss_tts_v15,K_to_E,ko,en,5,S,52.0,0.46511627906976744,0.02857142857142857,0.3719512195121951,CER,WER,129,35,1.0,0.8150365710258484,0.9687017202377319,0.9668710231781006,0.95497567653656,True
syncs_K_to_E_11,moss_tts_v15,K_to_E,ko,en,5,S,58.08,0.6451612903225806,0.0,0.5529953917050692,CER,WER,186,31,0.8,0.2289211705327034,0.9823964238166809,0.9810196757316589,0.9583861470222473,True
syncs_K_to_E_15,moss_tts_v15,K_to_E,ko,en,3,S,39.68,0.2945205479452055,0.0,0.2606060606060606,CER,WER,146,19,0.6666666666666666,0.6012530128161112,0.9831259250640869,0.9780123829841614,0.9599009156227112,True
syncs_K_to_E_19,moss_tts_v15,K_to_E,ko,en,3,S,52.56,0.5358851674641149,0.08333333333333333,0.4875356125356125,CER,WER,209,25,0.6666666666666666,0.5817362517118454,0.985974907875061,0.9862873554229736,0.9573936263720194,True
syncs_K_to_E_23,moss_tts_v15,K_to_E,ko,en,4,B,47.04,0.5426829268292683,0.0,0.4734042553191489,CER,WER,164,24,0.75,0.009898592141325935,0.9741450548171997,0.9797942638397217,0.9551932960748672,True
syncs_K_to_E_27,moss_tts_v15,K_to_E,ko,en,5,S,47.44,0.5703125,0.02222222222222222,0.43981481481481477,CER,WER,128,40,0.8,0.7089595794677734,0.9851399064064026,0.984673261642456,0.9611478447914124,True
syncs_K_to_E_31,moss_tts_v15,K_to_E,ko,en,3,S,40.96,0.20754716981132076,0.0,0.1864406779661017,CER,WER,159,18,0.6666666666666666,0.7248988747596741,0.9779207706451416,0.9772700667381287,0.9591090281804403,True
syncs_K_to_E_35,moss_tts_v15,K_to_E,ko,en,4,C,52.08,0.41509433962264153,0.08333333333333333,0.3684684684684685,CER,WER,159,26,0.0,0.3107525631785393,0.9830947518348694,0.9824172258377075,0.9662384688854218,True
syncs_K_to_E_39,moss_tts_v15,K_to_E,ko,en,4,S,45.36,0.7077922077922078,0.03125,0.5974864130434783,CER,WER,154,30,0.25,0.4308580532670021,0.9843117594718933,0.9829568266868591,0.9593719393014908,True
syncs_K_to_E_43,moss_tts_v15,K_to_E,ko,en,4,S,50.8,0.39779005524861877,0.0,0.34782608695652173,CER,WER,181,26,0.75,0.7823664769530296,0.9752726554870605,0.976265549659729,0.9480880498886108,True
syncs_K_to_E_47,moss_tts_v15,K_to_E,ko,en,4,S,45.52,0.6233766233766234,0.0,0.5245901639344263,CER,WER,154,29,0.75,0.6105070859193802,0.9850561022758484,0.982164204120636,0.9638546407222748,True
syncs_K_to_E_51,moss_tts_v15,K_to_E,ko,en,4,S,45.84,0.47126436781609193,0.0,0.41,CER,WER,174,26,1.0,0.5822942182421684,0.9871894121170044,0.9806578159332275,0.9536759108304977,True
syncs_K_to_E_55,moss_tts_v15,K_to_E,ko,en,4,S,51.92,0.5284974093264249,0.0,0.46788990825688076,CER,WER,193,25,0.25,0.22173572960309684,0.9872561693191528,0.9845809936523438,0.9669310450553894,True
syncs_K_to_E_59,moss_tts_v15,K_to_E,ko,en,3,S,37.92,0.28776978417266186,0.037037037037037035,0.2548611111111111,CER,WER,139,21,0.6666666666666666,0.695185919602712,0.9799732565879822,0.9843785166740417,0.9289603233337402,True
syncs_K_to_E_63,moss_tts_v15,K_to_E,ko,en,3,B,53.2,0.4789473684210526,0.08333333333333333,0.4378930817610063,CER,WER,190,22,1.0,0.37809189160664874,0.9823262095451355,0.9821361303329468,0.9406898021697998,True
syncs_K_to_E_67,moss_tts_v15,K_to_E,ko,en,4,S,36.48,0.21897810218978103,0.10714285714285714,0.2,CER,WER,137,28,0.0,0.2237307457253337,0.9733969569206238,0.978223443031311,0.951648160815239,True
syncs_K_to_E_71,moss_tts_v15,K_to_E,ko,en,4,S,56.72,0.7747252747252747,0.041666666666666664,0.6800239234449761,CER,WER,182,27,0.75,0.2738327505066991,0.9777830839157104,0.976506769657135,0.9497195929288864,True
syncs_K_to_E_75,moss_tts_v15,K_to_E,ko,en,5,S,42.0,0.2734375,0.0,0.22580645161290322,CER,WER,128,27,0.6,0.18692314866930246,0.967109203338623,0.9686715602874756,0.9410810470581055,True
syncs_K_to_E_79,moss_tts_v15,K_to_E,ko,en,3,S,38.24,0.2571428571428571,0.0,0.2236024844720497,CER,WER,140,21,0.6666666666666666,0.2992601344982783,0.9795066118240356,0.9790694117546082,0.9647339582443237,True
syncs_K_to_E_83,moss_tts_v15,K_to_E,ko,en,4,C,42.32,0.3888888888888889,0.0,0.3236994219653179,CER,WER,144,29,1.0,0.9378664046525955,0.9753219485282898,0.9776883125305176,0.9403065145015717,True
syncs_K_to_E_87,moss_tts_v15,K_to_E,ko,en,4,S,38.64,0.22857142857142856,0.03125,0.19471153846153846,CER,WER,140,29,0.75,0.8116761073470116,0.9733105301856995,0.9747814536094666,0.9509423822164536,True
syncs_K_to_E_91,moss_tts_v15,K_to_E,ko,en,3,S,53.76,0.5568181818181818,0.0,0.5025641025641024,CER,WER,176,19,0.6666666666666666,0.4496219754219055,0.9715245962142944,0.9732270240783691,0.8643012444178263,True
syncs_K_to_E_95,moss_tts_v15,K_to_E,ko,en,4,S,50.08,0.32934131736526945,0.07291666666666666,0.29252136752136754,CER,WER,167,28,0.5,0.27552285604178905,0.9782740473747253,0.9817023873329163,0.9413564801216125,True
