setup,en_iou_mean,en_recall_mean,en_precision_mean,en_f1_mean,ko_iou_mean,ko_recall_mean,ko_precision_mean,ko_f1_mean
layers_set_9-12__max__a2t,0.2892,0.3981,0.5119,0.4485,0.4095,0.4568,0.6449,0.5809
layers_set_9-13__mean__a2t,0.2414,0.3273,0.4933,0.4093,0.3766,0.4193,0.6371,0.5574
layers_set_9-13__max__a2t,0.2648,0.3671,0.4979,0.4231,0.4003,0.4524,0.6340,0.5788
layers_set_12-13__mean__a2t,0.2743,0.3753,0.5090,0.4342,0.4014,0.4479,0.6409,0.5776
layers_set_12-13__max__a2t,0.2853,0.3945,0.5078,0.4433,0.4084,0.4581,0.6392,0.5824
layers_set_7-8-9__mean__a2t,0.2672,0.3625,0.5162,0.4426,0.3389,0.3726,0.6603,0.5330
layers_set_7-8-9__max__a2t,0.2841,0.3982,0.5041,0.4529,0.3906,0.4424,0.6493,0.5683
layers_set_7-8-12__mean__a2t,0.2884,0.3922,0.5201,0.4502,0.3972,0.4412,0.6521,0.5727
layers_set_7-8-12__max__a2t,0.2915,0.4047,0.5090,0.4522,0.4091,0.4614,0.6436,0.5813
layers_set_7-8-13__mean__a2t,0.2766,0.3759,0.5140,0.4402,0.3898,0.4331,0.6499,0.5666
layers_set_7-8-13__max__a2t,0.2861,0.3975,0.5051,0.4468,0.4034,0.4556,0.6433,0.5775
layers_set_7-9-12__mean__a2t,0.2651,0.3526,0.5143,0.4313,0.3733,0.4088,0.6543,0.5526
layers_set_7-9-12__max__a2t,0.2842,0.3889,0.5149,0.4444,0.4046,0.4487,0.6483,0.5792
layers_set_7-9-13__mean__a2t,0.2228,0.2952,0.4889,0.4008,0.3428,0.3740,0.6471,0.5329
layers_set_7-9-13__max__a2t,0.2541,0.3523,0.4956,0.4145,0.3917,0.4408,0.6381,0.5731
layers_set_7-12-13__mean__a2t,0.2663,0.3594,0.5101,0.4297,0.3902,0.4306,0.6480,0.5676
layers_set_7-12-13__max__a2t,0.2814,0.3887,0.5092,0.4400,0.4056,0.4533,0.6423,0.5811
layers_set_8-9-12__mean__a2t,0.2917,0.3990,0.5175,0.4532,0.4030,0.4493,0.6497,0.5770
layers_set_8-9-12__max__a2t,0.2926,0.4066,0.5081,0.4531,0.4109,0.4644,0.6417,0.5814
layers_set_8-9-13__mean__a2t,0.2806,0.3840,0.5116,0.4434,0.3968,0.4433,0.6456,0.5724
layers_set_8-9-13__max__a2t,0.2876,0.4000,0.5046,0.4479,0.4074,0.4611,0.6412,0.5799
layers_set_8-12-13__mean__a2t,0.2870,0.3941,0.5137,0.4472,0.4075,0.4562,0.6444,0.5805
layers_set_8-12-13__max__a2t,0.2914,0.4049,0.5078,0.4513,0.4105,0.4643,0.6392,0.5817
layers_set_9-12-13__mean__a2t,0.2699,0.3673,0.5092,0.4309,0.3950,0.4383,0.6440,0.5718
layers_set_9-12-13__max__a2t,0.2851,0.3941,0.5081,0.4433,0.4077,0.4565,0.6403,0.5819
layers_set_7-8-9-12__mean__a2t,0.2857,0.3865,0.5203,0.4481,0.3910,0.4327,0.6531,0.5670
layers_set_7-8-9-12__max__a2t,0.2915,0.4042,0.5099,0.4524,0.4086,0.4606,0.6437,0.5809
layers_set_7-8-9-13__mean__a2t,0.2733,0.3695,0.5148,0.4383,0.3835,0.4243,0.6514,0.5613
layers_set_7-8-9-13__max__a2t,0.2858,0.3970,0.5055,0.4466,0.4032,0.4552,0.6433,0.5776
layers_set_7-8-12-13__mean__a2t,0.2821,0.3840,0.5159,0.4433,0.3994,0.4438,0.6491,0.5742
layers_set_7-8-12-13__max__a2t,0.2902,0.4028,0.5089,0.4501,0.4082,0.4605,0.6415,0.5809
layers_set_7-9-12-13__mean__a2t,0.2624,0.3523,0.5092,0.4278,0.3834,0.4220,0.6491,0.5620
layers_set_7-9-12-13__max__a2t,0.2813,0.3885,0.5093,0.4400,0.4054,0.4529,0.6424,0.5809
layers_set_8-9-12-13__mean__a2t,0.2845,0.3892,0.5143,0.4451,0.4025,0.4487,0.6466,0.5766
